timestamp: 2026-09-08 19:38:07.431900

gantt results:
#, begin, duration, task, size
io-thread-00, 0.000, 0.000, sort, medium
io-thread-00, 0.000, 0.200, write, tiny
io-thread-00, 0.700, 0.005, dispatch, large
io-thread-00, 0.405, 0.000, sync, small
io-thread-00, 0.405, 8.000, poll, tiny
io-thread-00, 8.905, 0.200, merge, xlarge
io-thread-00, 9.205, 0.200, link, xlarge
io-thread-00, 9.405, 0.000, fsync, large
io-thread-00, 9.405, 0.500, write, small
io-thread-00, 9.905, 0.005, sync, large
worker-01, 0.000, 1.000, alloc, xlarge
worker-01, 1.000, 0.000, sort, large
worker-01, 1.500, 0.005, free, tiny
worker-01, 2.005, 0.500, flush, xlarge
worker-01, 2.505, 0.200, merge, tiny
worker-01, 2.405, 0.200, send, tiny
worker-01, 2.605, 0.005, free, medium
worker-01, 2.710, 1.000, fsync, medium
worker-01, 3.710, 0.200, checkpoint, medium
worker-01, 3.610, 0.050, serialize, small
worker-02, 0.000, 5.000, free, medium
worker-02, 5.500, 0.200, checkpoint, medium
worker-02, 5.400, 0.200, compute, medium
worker-02, 5.700, 0.500, sync, small
worker-02, 6.700, 1.000, kernel-A, large
worker-02, 7.800, 5.000, write, medium
worker-02, 12.800, 0.200, sort, xlarge
worker-02, 13.500, 0.500, sort, xlarge
worker-02, 14.100, 2.500, alloc, small
worker-02, 16.600, 8.000, optimize, tiny
io-thread-03, 0.000, 0.005, write, small
io-thread-03, 0.105, 0.005, free, large
io-thread-03, 0.610, 5.000, parse, medium
io-thread-03, 6.110, 0.000, checkpoint, tiny
io-thread-03, 6.610, 0.500, flush, medium
io-thread-03, 6.810, 0.500, compile, small
io-thread-03, 7.410, 0.000, sort, medium
io-thread-03, 7.910, 0.050, parse, tiny
io-thread-03, 7.960, 8.000, poll, small
io-thread-03, 15.960, 1.000, fsync, xlarge
worker-04, 0.500, 0.000, poll, medium
worker-04, 0.600, 0.000, read, medium
worker-04, 0.600, 0.200, compute, small
worker-04, 1.300, 0.005, sync, large
worker-04, 1.005, 8.000, write, small
worker-04, 9.105, 8.000, fsync, medium
worker-04, 17.605, 2.500, kernel-A, xlarge
worker-04, 20.105, 0.500, free, medium
